ID,Smiles,pIC50
KYL-21,O=C(N(CC)CC)OC1=CC=NC2=CC=CC=C21,7.5592483
104,COC1=C(OC)C=C(O/C(C2=O)=C\C3=CC=C(OC(N(C)C)=O)C=C3)C2=C1,7.545612533
773,CCCCCCC(=O)C(=O)c1ccccc1,7.542118103
115,O=C(CCCCCCCC)C1=C(C=C(C2=C(C(CCC)=O)C=CC=C2O)O3)C3=CC=C1,7.537602002
347,FC1=CC=C(OC(N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C=C1,7.528268349
AX-21,FC1=CC=C(OC(N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C=C1,7.528268349
KYL-2,O=C(CC)C1=C(O)C=CC(OC(N2CCOCC2)=O)=C1,7.528121801
758,O=C(C(=O)c1ccc(Cl)cc1)c1ccccc1,7.527243551
25,O=C1C=C(C2=CC=C(OCCCCCN3CC(C=CC=C4)=C4CC3)C=C2)OC5=C1C(O)=CC(OC(N(CC)CC)=O)=C5,7.515557792
838,O=C(C(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1,7.514278574
ZQ-19,O=C(N(CC)CC)OC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,7.513711239
15,OC1=C2C(OC(C3=CC=C(OC(N(OC)C)=O)C=C3)=CC2=O)=CC(OC(N(C)OC)=O)=C1,7.498393078
761,O=C(C(=O)c1cc(F)cc(F)c1F)c1cc(F)cc(F)c1F,7.496209317
735,O=C1C(=O)N(Cc2ccc(Cl)cc2)c2ccccc21,7.494850022
108,O=C(CCCCCCCC)C1=C(C=C(C2=CC=CC=C2O)O3)C3=CC=C1,7.494850022
579,CCCCCCCC(F)(F)C(=O)C(F)(F)F,7.489991487
342,O=C(CC1)NC2=C1C=CC(OC(N3CCOCC3)=O)=C2,7.487182241
AX-35,O=C1CCC2=CC=C(OC(N3CCOCC3)=O)C=C2N1,7.487182241
LQ-3,OC1=C2C(OC(C3=CC=C(OC(N(C)CC)=O)C=C3)CC2=O)=CC(OCCCCN(CC4=CC=CC=C4)CC)=C1,7.480697151
821,Cc1ccc(C(=O)C(=O)c2ccccc2)cc1,7.477555766
832,Cc1ccc(C(=O)C(=O)c2ccccc2)cc1[N+](=O)[O-],7.4710833
853,O=C1C=C(Oc2ccc(I)cc2)c2ccccc2C1=O,7.469800302
364,O=C(CCCCCC)C1=C(C=C(C2=CC(C(OC)=O)=CC=C2O)O3)C3=CC=C1,7.455931956
KYL-19,O=C(OC1=C2C(C=CC=N2)=CC=C1)N(C)C,7.4529641
603,CCCCCCCCCCC(=O)C(F)(F)F,7.443697499
87,O=C(C1=CC(OC(N(C)CC)=O)=CC=C1OC(N(C)CC)=O)N2CCC(CC3=CC=CC=C3)CC2,7.434388275
53,O=C(N(C)CC)OC1=CC=C(/C=C/C(N2CCN(CC3=CC=CC=C3)CC2)=O)C=C1,7.431798276
247,COC1=C(OC(N(CC)C)=O)C=CC(/C=C/C(N(CC2=CC=CC=C2)CC)=O)=C1,7.416008201
BP-4,COC1=CC(C(N2CCN(C3=CC=C(F)C=C3)CC2)=O)=CC(OC)=C1OC(N(C)CC)=O,7.410944469
356,FC1=CC(F)=CC(OC(N2CCOCC2)=O)=C1,7.408712735
BH-35,FC1=CC(F)=CC(OC(N2CCOCC2)=O)=C1,7.408712735
72,O=C(NC1CCN(CC2=CC=CC=C2)CC1)/C=C/C3=CC=C(OC(N(C)CC)=O)C=C3,7.408267761
LZW-8,FC(F)(OC1=CC=C(OC(N(CC)C)=O)C=C1)F,7.402743717
734,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,7.397940009
731,O=C(C(=O)c1c(F)ccc(F)c1F)c1cc(F)cc(F)c1F,7.390405591
805,CCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,7.37675071
BP-17,COC1=C(OC(N(CC)C)=O)C=CC(C(NCCCCCNC(OC(C)(C)C)=O)=O)=C1,7.370488466
197,OC(C(Br)=C1)=CC(OC)=C1/C=C/C(C2=CC=C(OC(C)=O)C=C2)=O,7.356547324
QI-4,CCN(C(OC1=CC=CC(CN2CCCCC2)=C1)=O)C,7.342944147
806,CCCCCC(=O)C(=O)c1ccccc1,7.337242168
611,CCCCCCS(=O)(=O)CC(=O)C(F)(F)F,7.33003263
LXJ-7,O=C(/C=C/C1=CC=C(F)C=C1)C2=C(OC(N(C)C)=O)C=CC=C2,7.327717375
703,COC(=O)/C(=N\Nc1ccccc1)C(=O)C(F)(F)F,7.321117585
587,CCCCCCOCC(=O)C(F)(F)F,7.320027306
SG-10,O=C1C(C2=CC=C(OC(N(CC)CC)=O)C=C2)=COC3=CC(OC(N(CC)CC)=O)=CC=C31,7.306800855
83,O=C(C1=C(OC(N(C(C)C)C(C)C)=O)C=C(OC(N(C(C)C)C(C)C)=O)C=C1)N2CCC(CC3=CC=CC=C3)CC2,7.293794458
LZW-6,CCCC1=CC(OC)=C(OC(N(C)CC)=O)C=C1,7.293367549
KYL-17,O=C(OC(C=C1)=CC2=C1CCC(N2)=O)N(C3=CC=CC=C3)C4=CC=CC=C4,7.293367549
346,O=C(N(CC)CC)OC1=C(C=CC=N2)C2=CC=C1,7.286005732
717,O=C1C(=O)c2ccccc2-c2ccccc21,7.283996656
